fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
89,0.38,0.4,22,0.068,12,28,0.99486,327,0.75,126,7,Red
78,0.21,0.34,NA,0.039,55,140,0.9959,302,0.31,103,6,White
71,0.22,0.33,NA,0.033,48,153,0.9899,315,0.38,127,7,White
71,0.17,0.4,NA,0.047,47,156,0.99945,334,0.78,91,6,White
72,0.53,0.13,2,0.058,18,22,0.99573,321,0.68,99,6,Red
66,0.23,0.3,NA,0.051,33,118,0.99835,304,0.54,9,6,White
72,0.29,0.4,NA,0.024,56,177,0.9928,304,0.32,115,6,White
115,0.18,0.51,4,0.104,4,23,0.9996,328,0.97,101,6,Red
66,0.56,0.15,10,0.037,38,157,0.99642,328,0.52,94,5,White
67,0.34,0.43,NA,0.041,29,114,0.99014,323,0.44,126,6,White
64,0.15,0.36,NA,0.034,43,150,0.9922,342,0.69,11,8,White
75,0.28,0.78,NA,0.041,53,161,0.99838,298,0.44,87,5,White
124,0.4,0.51,2,0.059,6,24,0.9994,304,0.6,93,6,Red
52,0.645,0,215,0.08,15,28,0.99444,378,0.61,125,6,Red
47,0.145,0.29,1,0.042,35,90,0.9908,376,0.49,113,6,White
107,0.46,0.39,2,0.061,7,15,0.9981,318,0.62,95,5,Red
68,0.26,0.24,NA,0.052,54,214,0.9961,313,0.47,89,5,White
68,0.32,0.3,NA,0.029,15,80,0.99061,333,0.63,126,7,White
55,0.21,0.25,NA,0.04,18,75,0.99006,331,0.56,113,6,White
69,0.25,0.3,NA,0.054,23,116,0.994,299,0.38,94,6,White
78,0.6,0.14,24,0.086,3,15,0.9975,342,0.6,108,6,Red
10,0.43,0.33,27,0.095,28,89,0.9984,322,0.68,10,5,Red
64,0.57,0.02,18,0.067,4,11,0.997,346,0.68,95,5,Red
77,0.715,0.01,21,0.064,31,43,0.99371,341,0.57,118,6,Red
106,0.44,0.68,41,0.114,6,24,0.997,306,0.66,134,6,Red
74,0.16,0.33,NA,0.042,47,121,0.99198,304,0.68,105,7,White
63,0.38,0.17,NA,0.08,50,212,0.99803,347,0.66,94,4,White
68,0.19,0.4,NA,0.055,41,103,0.99532,298,0.56,105,6,White
84,0.57,0.44,NA,0.051,46,195,0.9981,315,0.51,104,5,White
9,0.245,0.38,NA,0.045,52,159,0.995,293,0.35,102,6,White
69,0.22,0.37,15,0.053,59,178,0.9992,337,0.82,95,7,White
62,0.255,0.24,NA,0.039,1385,272,0.99452,353,0.53,96,4,White
74,0.785,0.19,52,0.094,19,98,0.99713,316,0.52,96,6,Red
72,0.34,0.44,NA,0.047,51,144,0.991,301,0.76,123,6,White
8,0.19,0.3,2,0.053,48,140,0.994,318,0.49,96,6,White
78,0.18,0.46,NA,0.052,38,118,0.998,315,0.5,10,6,White
6,0.19,0.71,NA,0.152,9,55,0.9927,312,0.46,98,6,White
71,0.69,0.08,21,0.063,42,52,0.99608,342,0.6,102,6,Red
58,0.22,0.29,NA,0.034,34,89,0.98936,314,0.36,111,7,White
65,0.23,0.25,NA,0.046,15,110,0.99828,315,0.42,92,6,White
68,0.24,0.38,NA,0.045,50,185,0.99578,315,0.5,95,6,White
67,0.27,0.33,NA,0.034,9,45,0.99144,308,0.4,105,6,White
109,0.32,0.52,18,0.132,17,44,0.99734,328,0.77,115,6,Red
68,0.25,0.38,NA,0.046,24,155,0.9956,333,0.59,102,6,White
66,0.34,0.28,NA,0.035,32,90,0.9916,31,0.42,107,6,White
74,0.26,0.43,6,0.022,22,125,0.9928,313,0.55,115,6,White
69,0.29,0.16,NA,0.034,65,212,0.9955,308,0.39,9,6,White
71,0.37,0.3,NA,0.04,49,139,0.99021,317,0.27,136,6,White
81,0.2,0.3,NA,0.036,7,49,0.99242,299,0.73,103,5,White
6,0.34,0.66,NA,0.046,26,164,0.9979,314,0.5,88,6,White
104,0.64,0.24,28,0.105,29,53,0.9998,324,0.67,99,5,Red
111,0.31,0.53,22,0.06,3,10,0.99572,302,0.83,109,7,Red
67,0.31,0.3,NA,0.038,30,83,0.98867,309,0.36,128,7,White
76,0.39,0.31,23,0.082,23,71,0.9982,352,0.65,97,5,Red
64,0.29,0.18,15,0.04,21,116,0.99736,314,0.5,92,5,White
69,0.52,0.54,NA,0.036,23,169,0.99267,326,0.47,122,6,White
61,0.24,0.32,9,0.031,41,134,0.99234,325,0.26,123,7,White
71,0.2,0.37,NA,0.049,28,129,0.99226,315,0.52,108,5,White
63,0.76,0,29,0.072,26,52,0.99379,351,0.6,115,6,Red
73,0.52,0.32,21,0.07,51,70,0.99418,334,0.82,129,6,Red
68,0.28,0.4,22,0.048,48,167,1.001,293,0.5,87,5,White
64,0.24,0.49,NA,0.053,25,120,0.9942,301,0.98,105,6,White
68,0.21,0.55,NA,0.053,34,159,0.99805,293,0.44,92,5,White
59,0.65,0.23,5,0.035,20,128,0.99016,346,0.48,128,6,White
73,0.24,0.39,NA,0.057,45,149,0.9999,321,0.36,86,5,White
76,0.17,0.27,NA,0.05,23,98,0.99422,308,0.47,95,6,White
115,0.315,0.54,21,0.084,5,15,0.9987,298,0.7,92,6,Red
6,0.28,0.27,NA,0.036,31,134,0.99408,319,0.44,13,7,White
74,0.16,0.27,NA,0.05,25,135,0.9984,29,0.43,87,7,White
79,0.58,0.23,23,0.076,23,94,0.99686,321,0.58,95,6,Red
69,0.3,0.21,NA,0.056,49,159,0.99827,311,0.48,9,5,White
72,0.48,0.07,55,0.089,10,18,0.99684,337,0.68,112,7,Red
73,0.67,0.26,18,0.401,16,51,0.9969,316,1.14,94,5,Red
63,0.33,0.27,NA,0.046,34,175,0.9934,337,0.54,94,6,White
83,0.2,0.49,NA,0.04,34,169,0.9938,305,0.37,101,5,White
67,0.22,0.39,NA,0.049,26,152,0.99346,35,0.47,10,6,White
84,0.4,0.7,NA,0.042,29,197,0.998,306,0.64,97,5,White
7,0.28,0.26,NA,0.042,34,130,0.9925,343,0.5,107,8,White
59,0.22,0.3,NA,0.052,42,86,0.99069,331,0.47,1155,6,White
67,0.46,0.24,17,0.077,18,34,0.9948,339,0.6,106,6,Red
109,0.53,0.49,46,0.118,10,17,1.0002,307,0.56,117,6,Red
66,0.25,0.32,NA,0.039,15,68,0.99163,296,0.52,111,6,White
12,0.45,0.55,2,0.073,25,49,0.9997,31,0.76,103,6,Red
62,0.2,0.49,NA,0.065,17,143,0.9937,322,0.52,92,6,White
62,0.34,0.3,NA,0.047,28,237,0.9981,318,0.49,87,5,White
69,0.48,0.2,19,0.082,9,23,0.99585,339,0.43,905,4,Red
82,0.26,0.34,25,0.073,16,47,0.99594,34,0.78,113,7,Red
73,0.19,0.27,NA,0.057,45,155,0.99807,294,0.41,88,8,White
75,0.25,0.47,NA,0.041,95,163,0.99184,292,0.59,113,6,White
97,0.295,0.4,15,0.073,14,21,0.99556,314,0.51,109,6,Red
68,0.17,0.74,NA,0.053,61,182,0.9953,363,0.76,105,6,White
71,0.35,0.29,25,0.096,20,53,0.9962,342,0.65,11,6,Red
59,0.655,0,NA,0.033,8,31,0.9936,332,0.51,105,4,White
73,0.835,0.03,21,0.092,10,19,0.9966,339,0.47,96,5,Red
68,0.26,0.34,NA,0.06,42,162,0.99705,324,0.52,105,3,White
6,0.28,0.52,NA,0.028,37,104,0.99161,328,0.51,118,7,White
94,0.24,0.29,NA,0.037,124,208,0.99395,29,0.38,11,3,White
66,0.21,0.29,NA,0.029,43,106,0.99112,293,0.43,115,7,White
65,0.23,0.33,NA,0.042,25,139,0.99695,335,0.56,104,6,White
99,0.54,0.26,2,0.111,7,60,0.99709,294,0.98,102,5,Red
68,0.43,0.3,NA,0.033,27,135,0.9906,3,0.37,12,6,White
64,0.17,0.34,NA,0.091,42,135,0.9938,325,0.49,96,7,White
71,0.12,0.32,NA,0.054,64,162,0.9962,34,0.41,94,5,White
78,0.52,0.25,19,0.081,14,38,0.9984,343,0.65,9,6,Red
64,0.18,0.32,NA,0.052,24,90,0.9963,335,0.49,94,6,White
91,0.22,0.24,21,0.078,1,28,0.999,341,0.87,103,6,Red
62,0.37,0.24,NA,0.032,19,86,0.98934,304,0.26,134,8,White
74,0.26,0.37,NA,0.047,42,147,0.9982,346,0.72,10,5,White
64,0.29,0.2,NA,0.04,20,142,0.9962,31,0.54,106,5,White
7,0.48,0.12,NA,0.05,23,86,0.99398,286,0.35,9,5,White
59,0.23,0.24,NA,0.038,61,152,0.99139,331,0.5,113,7,White
71,0.71,0,19,0.08,14,35,0.9972,347,0.55,94,5,Red
69,0.17,0.25,NA,0.047,34,132,0.9914,316,0.48,114,5,White
64,0.26,0.42,NA,0.044,30,140,0.9962,318,0.47,91,6,White
66,0.425,0.25,NA,0.034,23,87,0.99082,305,0.41,114,6,White
75,0.27,0.36,7,0.036,45,164,0.9939,303,0.33,11,5,White
62,0.2,0.25,15,0.055,8,120,0.99767,319,0.53,96,6,White
68,0.34,0.69,NA,0.058,12,171,0.9931,306,0.47,97,5,White
54,0.74,0,12,0.041,16,46,0.99258,401,0.59,125,6,Red
7,0.53,0.43,NA,0.029,6,76,0.99118,308,0.5,125,8,White
6,0.18,0.27,NA,0.089,40,143,0.9923,349,0.62,108,6,White
103,0.34,0.52,28,0.159,15,75,0.9998,318,0.64,94,5,Red
68,0.18,0.28,NA,0.047,52,242,0.9952,322,0.53,105,6,White
68,0.18,0.3,NA,0.062,19,171,0.99808,3,0.52,9,7,White
68,0.14,0.35,NA,0.047,40,117,0.99111,307,0.72,111,6,White
59,0.27,0.27,9,0.051,43,136,0.9941,325,0.53,107,6,White
61,0.21,0.4,14,0.066,405,165,0.9912,325,0.59,119,6,Red
68,0.24,0.29,2,0.044,15,96,0.99232,323,0.64,104,8,White
72,0.35,0.26,18,0.083,33,75,0.9968,34,0.58,95,6,Red
82,0.7,0.23,2,0.099,14,81,0.9973,319,0.7,94,5,Red
75,0.51,0.02,17,0.084,13,31,0.99538,336,0.54,105,6,Red
72,0.57,0.05,23,0.081,16,36,0.99564,338,0.6,103,6,Red
77,0.31,0.26,NA,0.031,23,90,0.9944,313,0.5,104,5,White
75,0.28,0.34,NA,0.028,36,116,0.991,299,0.41,123,8,White
67,0.27,0.33,NA,0.034,9,45,0.99144,308,0.4,105,6,White
83,0.65,0.1,29,0.089,17,40,0.99803,329,0.55,95,5,Red
75,0.49,0.19,19,0.076,10,44,0.9957,339,0.54,97,5,Red
79,1.04,0.05,22,0.084,13,29,0.9959,322,0.55,99,6,Red
89,0.26,0.33,NA,0.024,47,202,0.99558,313,0.46,108,6,White
119,0.38,0.49,27,0.098,12,42,1.0004,316,0.61,103,5,Red
64,0.25,0.32,NA,0.034,40,114,0.99114,331,0.58,108,7,White
8,0.25,0.49,9,0.044,31,185,0.998,334,0.49,10,6,White
74,0.26,0.29,NA,0.048,14,73,0.9915,306,0.45,114,6,White
91,0.28,0.46,9,0.114,3,9,0.99901,318,0.6,109,6,Red
73,0.17,0.23,NA,0.051,35,240,0.9963,336,0.54,10,6,White
65,0.28,0.29,NA,0.038,26,107,0.9912,332,0.41,116,7,White
54,0.375,0.4,NA,0.054,29,147,0.99482,342,0.52,91,5,White
73,0.19,0.27,NA,0.057,45,155,0.99807,294,0.41,88,8,White
69,0.33,0.26,5,0.027,46,143,0.9924,325,0.43,112,7,White
7,0.3,0.51,NA,0.05,40,168,0.9976,307,0.52,96,7,White
10,0.41,0.45,62,0.071,6,14,0.99702,321,0.49,118,7,Red
71,0.09,0.3,NA,0.032,24,134,0.993,299,0.39,109,6,White
84,0.34,0.42,21,0.072,23,36,0.99392,311,0.78,124,6,Red
98,0.37,0.39,25,0.079,28,65,0.99729,316,0.59,98,5,Red
75,0.33,0.32,NA,0.036,25,119,0.9962,315,0.34,105,6,White
82,0.34,0.37,19,0.057,43,74,0.99408,323,0.81,12,6,Red
71,0.12,0.3,NA,0.018,15,37,0.99004,302,0.52,119,7,White
109,0.37,0.58,4,0.071,17,65,0.99935,322,0.78,101,5,Red
7,0.58,0.12,19,0.091,34,124,0.9956,344,0.48,105,5,Red
61,0.28,0.23,NA,0.038,13,95,0.98898,297,0.7,131,6,White
61,0.17,0.21,NA,0.09,44,130,0.99255,307,0.41,97,5,White
68,0.49,0.22,23,0.071,13,24,0.99438,341,0.83,113,6,Red
55,0.12,0.33,1,0.038,23,131,0.99164,325,0.45,98,5,White
62,0.21,0.26,NA,0.05,59,150,0.99772,331,0.46,9,5,White
85,0.28,0.34,NA,0.041,32,161,0.9981,313,0.4,99,6,White
86,0.23,0.4,NA,0.035,17,109,0.9947,314,0.53,97,5,White
72,0.24,0.28,NA,0.032,30,92,0.9914,31,0.39,109,6,White
66,0.64,0.28,NA,0.032,19,78,0.99036,311,0.62,129,6,White
7,0.2,0.35,NA,0.037,31,103,0.99388,313,0.49,11,6,White
108,0.29,0.42,16,0.084,19,27,0.99545,328,0.73,119,6,Red
76,0.29,0.42,NA,0.035,18,86,0.9908,299,0.39,113,5,White
65,0.33,0.38,NA,0.047,30,148,0.98964,317,0.43,127,6,White
101,0.28,0.46,18,0.05,5,13,0.9974,304,0.79,102,6,Red
75,0.32,0.49,NA,0.031,44,109,0.9906,307,0.46,125,6,White
84,0.56,0.04,2,0.082,10,22,0.9976,322,0.44,96,5,Red
87,0.69,0.31,3,0.086,23,81,1.0002,348,0.74,116,6,Red
83,0.2,0.74,NA,0.044,33,130,0.9924,325,0.42,122,6,White
8,0.23,0.46,NA,0.03,30,125,0.9907,323,0.47,125,6,White
77,0.96,0.2,2,0.047,15,60,0.9955,336,0.44,109,5,Red
95,0.56,0.33,24,0.089,35,67,0.9972,328,0.73,118,7,Red
77,0.39,0.12,17,0.097,19,27,0.99596,316,0.49,94,5,Red
72,0.24,0.27,NA,0.034,40,174,0.99773,32,0.44,9,5,White
66,0.26,0.21,NA,0.026,48,126,0.99089,322,0.38,113,7,White
84,0.2,0.38,NA,0.055,51,170,1.0004,334,0.82,89,6,White
76,0.2,0.3,NA,0.056,53,2125,0.999,314,0.46,89,8,White
67,0.24,0.36,NA,0.042,42,123,0.99473,334,0.52,109,6,White
67,0.24,0.33,NA,0.046,31,145,0.9983,336,0.4,95,5,White
53,0.31,0.38,NA,0.031,53,140,0.99321,334,0.46,117,6,White
74,0.29,0.5,NA,0.042,35,127,0.9937,345,0.5,102,7,White
96,0.42,0.35,21,0.083,17,38,0.99622,323,0.66,111,6,Red
62,0.15,0.46,NA,0.039,38,123,0.993,338,0.51,97,6,White
68,0.27,0.22,NA,0.034,16,116,0.9989,307,0.53,92,5,White
82,0.37,0.27,NA,0.028,10,59,0.9923,297,0.48,104,5,White
105,0.26,0.47,19,0.078,6,24,0.9976,318,1.04,109,7,Red
69,0.27,0.25,NA,0.03,18,117,0.99116,309,0.38,13,6,White
64,0.21,0.28,NA,0.047,29,101,0.99278,315,0.4,11,6,White
71,0.59,0.01,25,0.077,20,85,0.99746,355,0.59,98,5,Red
7,0.22,0.26,NA,0.037,20,71,0.9902,31,0.38,117,6,White
49,0.335,0.14,NA,0.036,69,168,0.99212,347,0.46,104666700000000,5,White
94,0.28,0.3,NA,0.045,36,139,0.99534,311,0.49,93,5,White
64,0.38,0.14,22,0.038,15,25,0.99514,344,0.65,111,6,Red
68,0.26,0.44,NA,0.046,52,183,0.99584,32,0.51,94,5,White
72,0.23,0.38,NA,0.058,55,194,0.9979,309,0.44,9,6,White
73,0.25,0.42,NA,0.041,57,182,0.9996,329,0.75,91,7,White
76,0.31,0.24,NA,0.037,39,150,0.9913,305,0.44,118,7,White
68,0.34,0.74,NA,0.088,23,185,0.9928,351,0.7,12,6,White
45,0.19,0.21,NA,0.033,89,159,0.99332,334,0.42,8,5,White
103,0.43,0.44,24,0.214,5,12,0.9994,319,0.63,95,6,Red
51,0.31,0.3,NA,0.037,28,152,0.992,354,0.56,101,6,White
63,0.27,0.37,NA,0.047,58,215,0.99542,319,0.48,95,6,White
126,0.31,0.72,22,0.072,6,29,0.9987,288,0.82,98,8,Red
8,0.59,0.71,NA,0.038,61,228,1,295,0.75,93,5,White
7,0.27,0.74,NA,0.036,27,122,0.9926,335,0.48,112,6,White
73,0.2,0.26,NA,0.04,36,123,0.99238,334,0.44,108,6,White
87,0.82,0.02,12,0.07,36,48,0.9952,32,0.58,98,5,Red
82,0.17,0.32,NA,0.05,17,101,0.994,314,0.58,95,5,White
116,0.475,0.4,14,0.091,6,28,0.99704,307,0.65,100333300000000,6,Red
62,0.25,0.25,NA,0.03,35,105,0.9912,33,0.44,111,7,White
66,0.28,0.28,NA,0.052,55,211,0.9962,309,0.55,89,6,White
96,0.56,0.31,28,0.089,15,46,0.9979,311,0.92,10,6,Red
89,0.13,0.49,1,0.028,6,24,0.9926,291,0.32,99,5,White
72,0.66,0.03,23,0.078,16,86,0.99743,353,0.57,97,5,Red
58,0.31,0.32,NA,0.024,28,94,0.98906,325,0.52,137,7,White
73,0.22,0.37,NA,0.063,48,191,0.9978,289,0.38,9,6,White
99,0.35,0.55,21,0.062,5,14,0.9971,326,0.79,106,5,Red
52,0.24,0.15,NA,0.043,32,134,0.99378,324,0.48,99,6,White
67,0.47,0.29,NA,0.034,29,134,0.99056,329,0.46,13,7,White
7,0.23,0.4,16,0.063,21,67,0.9952,35,0.63,111,5,Red
54,0.205,0.16,NA,0.051,31,115,0.99564,34,0.38,108,6,White
64,0.24,0.22,NA,0.038,38,157,0.9934,341,0.55,99,6,White
72,0.15,0.33,NA,0.027,16,63,0.9937,337,0.4,99,5,White
86,0.16,0.49,NA,0.043,9,63,0.9953,313,0.59,105,6,White
52,0.5,0.18,2,0.036,23,129,0.98949,336,0.77,134,7,White
65,0.36,0.16,NA,0.054,11,107,0.99398,319,0.39,85,5,White
89,0.62,0.18,38,0.176,52,145,0.9986,316,0.88,92,5,Red
66,0.32,0.26,NA,0.054,56,209,0.9961,317,0.45,88,5,White
63,0.13,0.42,NA,0.043,63,146,0.99066,313,0.72,112,7,White
66,0.41,0.31,NA,0.042,18,101,0.99195,313,0.41,105,5,White
67,0.23,0.31,NA,0.046,30,96,0.9926,333,0.64,107,8,White
99,0.53,0.57,24,0.093,30,52,0.9971,319,0.76,116,7,Red
65,0.15,0.55,NA,0.045,75,162,0.99482,297,0.4,93,5,White
71,0.21,0.33,NA,0.039,34,97,0.99112,311,0.75,112,6,White
75,0.305,0.38,NA,0.047,30,95,0.99158,322,0.52,115,7,White
62,0.38,0.42,NA,0.038,34,117,0.99132,336,0.59,116,7,White
64,0.32,0.23,NA,0.055,36,176,0.9986,326,0.54,91,5,White
61,0.35,0.24,NA,0.034,25,133,0.9906,334,0.59,12,7,White
61,0.24,0.27,NA,0.062,33,152,0.9966,331,0.47,95,6,White
86,0.23,0.25,NA,0.031,13,96,0.99645,311,0.4,108,5,White
72,0.19,0.39,NA,0.036,32,85,0.9918,316,0.5,105,5,White
62,0.47,0.19,NA,0.029,24,142,0.992,322,0.45,123,6,White
64,0.3,0.16,NA,0.05,55,191,0.9959,317,0.49,9,5,White
67,0.27,0.12,NA,0.041,62,138,0.9921,321,0.42,10,6,White
71,0.59,0,22,0.078,26,44,0.99522,342,0.68,108,6,Red
87,0.46,0.31,25,0.126,24,64,0.99746,31,0.74,96,5,Red
64,0.33,0.44,NA,0.055,52,164,0.99488,31,0.48,96,5,White
59,0.55,0.1,22,0.062,39,51,0.99512,352,0.76,112,6,Red
88,0.24,0.23,NA,0.032,12,97,0.99571,313,0.4,107,6,White
61,0.105,0.31,NA,0.037,55,145,0.9912,341,0.41,111,7,White
66,0.22,0.34,NA,0.05,59,140,0.99526,322,0.4,108,5,White
63,0.22,0.33,NA,0.041,67,164,0.9928,332,0.56,104,6,White
66,0.27,0.52,NA,0.044,53,202,0.99548,318,0.48,95,5,White
78,0.4,0.26,NA,0.059,32,178,0.9955,304,0.43,109,6,White
66,0.25,0.41,NA,0.043,29,151,0.9946,315,0.6,102,7,White
63,0.36,0.19,32,0.075,15,39,0.9956,356,0.52,127,6,Red
64,0.16,0.28,NA,0.042,33,93,0.9914,331,0.43,111,6,White
85,0.37,0.32,18,0.066,26,51,0.99456,338,0.72,118,6,Red
63,0.15,0.34,NA,0.05,25,96,0.99754,321,0.49,10,6,White
65,0.24,0.24,NA,0.046,15,60,0.9928,319,0.39,98,5,White
71,0.24,0.34,NA,0.045,6,132,0.99132,316,0.46,112,4,White
78,0.28,0.22,NA,0.056,24,130,0.9944,328,0.48,95,5,White
79,0.14,0.28,NA,0.041,44,178,0.9954,345,0.43,92,6,White
84,0.35,0.71,NA,0.046,22,160,0.9982,298,0.65,94,5,White
64,0.27,0.45,NA,0.05,52,196,0.9955,318,0.48,95,5,White
59,0.48,0.3,NA,0.037,19,78,0.99057,347,0.42,119,7,White
61,0.21,0.3,NA,0.039,47,136,0.99068,327,0.31,127,6,White
63,0.34,0.31,6,0.02,18,68,0.98981,322,0.29,134,7,White
61,0.32,0.24,NA,0.036,38,124,0.9898,329,0.42,124,7,White
69,0.45,0.27,NA,0.035,17,80,0.99058,312,0.36,125,7,White
66,0.29,0.73,NA,0.027,21,92,0.99,312,0.48,124,6,White
74,0.21,0.8,NA,0.038,77,183,0.99778,295,0.48,9,5,White
64,0.3,0.36,2,0.052,18,141,0.99273,338,0.53,105,6,White
66,0.34,0.24,NA,0.034,29,99,0.99031,31,0.4,123,7,White
75,0.35,0.37,NA,0.066,29,89,0.98964,314,0.42,127,6,White
66,0.33,0.24,NA,0.045,31,147,0.99822,308,0.52,92,5,White
74,0.56,0.09,NA,0.071,19,117,0.99496,322,0.53,98,5,White
6,0.28,0.35,NA,0.037,16,120,0.9933,316,0.69,106,5,White
76,0.19,0.41,NA,0.04,38,143,0.9907,292,0.42,114,5,White
67,0.26,0.51,8,0.062,50,194,0.99545,313,0.5,96,5,White
74,0.29,0.31,NA,0.035,23,110,0.9926,307,0.38,109,5,White
76,0.16,0.41,NA,0.047,27,151,0.9937,32,0.53,101,6,White
67,0.3,0.29,NA,0.025,37,107,0.99159,331,0.63,113,7,White
66,0.52,0.44,NA,0.048,54,245,0.9975,326,0.54,93,6,White
76,0.52,0.49,14,0.034,37,156,0.9958,314,0.38,118,7,White
66,0.27,0.33,NA,0.042,24,183,0.99215,329,0.46,107,5,White
53,0.33,0.3,NA,0.048,25,119,0.99045,332,0.62,113,6,White
68,0.64,0.03,23,0.075,14,31,0.99545,336,0.58,104,6,Red
109,0.32,0.52,18,0.132,17,44,0.99734,328,0.77,115,6,Red
7,0.24,0.3,NA,0.04,41,213,0.9927,328,0.49,118,6,White
83,0.615,0.22,26,0.087,6,19,0.9982,326,0.61,93,5,Red
61,0.36,0.33,NA,0.05,24,169,0.9927,315,0.78,95,6,White
64,0.27,0.32,NA,0.24,61,174,0.9948,312,0.48,94,5,White
67,0.27,0.26,NA,0.043,61,181,0.99394,345,0.63,106,6,White
69,0.74,0.03,23,0.054,7,16,0.99508,345,0.63,115,6,Red
65,0.26,0.43,NA,0.083,50,171,0.9965,285,0.5,9,5,White
65,0.28,0.35,NA,0.067,61,180,0.9972,315,0.57,9,4,White
7,0.32,0.27,NA,0.027,37,122,0.99165,315,0.6,126,7,White
71,0.39,0.3,NA,0.037,29,124,0.99414,307,0.42,109,6,White
57,0.21,0.25,NA,0.035,26,81,0.9902,331,0.52,114,6,White
72,0.55,0.09,NA,0.108,16,151,0.9938,307,0.57,92,4,White
95,0.55,0.66,23,0.387,12,37,0.9982,317,0.67,96,5,Red
72,0.19,0.27,NA,0.061,46,149,0.99772,299,0.59,93,6,White
5,0.33,0.16,NA,0.049,10,97,0.9917,348,0.44,107,6,White
7,0.3,0.27,NA,0.076,24,145,0.99344,31,0.52,101,5,White
77,0.39,0.34,10,0.056,35,178,0.9974,326,0.6,102,5,White
62,0.16,0.32,NA,0.036,74,184,0.99096,322,0.41,11,6,White
73,0.2,0.39,NA,0.048,24,87,0.99044,294,0.35,12,6,White
7,0.19,0.33,NA,0.032,42,127,0.99182,331,0.38,122,6,White
83,0.34,0.4,24,0.065,24,48,0.99554,334,0.86,11,6,Red
59,0.26,0.3,1,0.036,38,114,0.9928,358,0.48,94,5,White
91,0.4,0.57,46,0.08,6,20,0.99652,328,0.57,125,6,Red
68,0.26,0.22,NA,0.047,57,210,0.9959,31,0.47,9,5,White
69,0.2,0.41,NA,0.06,36,104,0.99317,299,0.39,92,5,White
